Last name,First name,SSN,Average Grade
Alfalfa,Aloysius,123-45-6789,78.25
Alfred,University,123-12-1234,82.75
Gerty,Gramma,567-89-0123,55.25
Android,Electric,087-65-4321,36.5
Bumpkin,Fred,456-78-9012,71.5
Rubble,Betty,234-56-7890,76.0
Noshow,Cecil,345-67-8901,20.0
Buff,Bif,632-79-9939,34.0
Airpump,Andrew,223-45-6789,80.5025
Backus,Jim,143-12-1234,60.5
Carnivore,Art,565-89-0123,46.25
Dandy,Jim,087-75-4321,26.75
Elephant,Ima,456-71-9012,53.0
Franklin,Benny,234-56-2890,55.25
George,Boy,345-67-3901,17.333333333333332
Heffalump,Harvey,632-79-9439,20.25
